"","V1"
"1",9.119159489
"2",11.18575228
"3",6.224098266
"4",7.06391022
"5",9.604255534
"6",10.59244079
"7",10.92846491
"8",8.639622149
"9",10.4134867
"10",9.866022247
"11",8.188192269
"12",11.49931803
"13",7.372772366
"14",9.426592809
"15",9.622013733
"16",13.03484787
"17",12.15807041
"18",10.84747002
"19",11.92608087
"20",10.12088013
"21",8.295439326
"22",8.816097027
"23",10.46003594
"24",14.99839437
"25",9.781114409
"26",8.781955662
"27",7.721376363
"28",8.717234041
"29",12.69898368
"30",7.103316533
"31",10.38166295
"32",12.50325505
"33",9.628195268
"34",8.938911107
"35",9.948004606
"36",6.13870497
"37",11.82443767
"38",12.05762178
"39",8.322019905
"40",12.96461088
"41",10.45442712
"42",9.863821851
"43",10.87340294
"44",10.61962526
"45",8.234464937
"46",9.348356993
"47",9.29893358
"48",13.74561133
"49",10.07874457
"50",6.844164116
"51",9.222330987
"52",10.84351697
"53",9.584660082
"54",8.019195425
"55",8.95960659
"56",7.088634611
"57",6.06947781
"58",8.030787823
"59",9.483459
"60",8.613207626
"61",10.71475445
"62",10.31442121
"63",10.79266004
"64",11.70292634
"65",9.897611985
"66",7.365936314
"67",8.793432241
"68",10.71221626
"69",7.380361276
"70",11.1274726
"71",8.848911799
"72",9.861507334
"73",6.85769556
"74",8.902080127
"75",13.46395186
"76",8.928719183
"77",7.842456704
"78",9.330156201
"79",10.83176294
"80",12.0678244
"81",5.718834894
"82",8.415035201
"83",8.979360315
"84",7.401702955
"85",9.442921977
"86",11.93279644
"87",6.804361734
"88",7.955848558
"89",8.930200569
"90",6.018576753
"91",9.484440983
"92",6.817480921
"93",8.611689476
"94",7.641449477
"95",9.621298877
"96",6.684331664
"97",11.62069694
"98",8.163615998
"99",8.227728096
"100",8.877196432
"101",10.58438082
"102",10.89159503
"103",9.390104311
"104",9.54105329
"105",9.51913767
"106",13.61742691
"107",10.91773231
"108",13.27599209
"109",10.31920422
"110",12.38530486
"111",9.684312905
"112",6.81403678
"113",9.364321816
"114",9.651404521
"115",6.022570063
"116",11.14816468
"117",7.166115894
"118",8.34025891
"119",12.27270186
"120",8.769966968
"121",6.61240556
"122",6.705069888
"123",6.344201876
"124",8.710585211
"125",9.482527408
"126",10.23293267
"127",10.17944395
"128",9.588501342
"129",10.23442701
"130",11.9332307
"131",8.281961814
"132",13.49735396
"133",10.85623591
"134",14.28694865
"135",5.979057445
"136",10.62175122
"137",7.858114645
"138",10.4950432
"139",8.369215497
"140",8.298971401
"141",7.271582927
"142",8.929776408
"143",10.58915054
"144",12.26509483
"145",11.49082338
"146",7.915464681
"147",8.820473217
"148",12.47343136
"149",7.104999259
"150",9.365095341
"151",10.75991121
"152",8.769595633
"153",12.45586704
"154",6.532793163
"155",7.182046361
"156",7.839989
"157",8.794529337
"158",10.75681985
"159",7.820273113
"160",9.923588301
"161",14.0193302
"162",7.914854298
"163",14.13381965
"164",13.56592718
"165",10.68678518
"166",6.898185612
"167",8.906668122
"168",15.3088307
"169",9.738098615
"170",8.306690442
"171",6.748890973
"172",9.169356081
"173",8.686178536
"174",8.192282464
"175",9.351107197
"176",8.670899643
"177",9.941934409
"178",6.192960368
"179",12.47443051
"180",11.99783343
"181",7.628287849
"182",6.990170692
"183",8.153517091
"184",6.64925315
"185",8.54544138
"186",9.929068054
"187",9.768714257
"188",9.007559291
"189",11.60771751
"190",7.697936434
"191",12.36438882
"192",11.34445145
"193",9.671530653
"194",10.28375334
"195",9.01741676
"196",11.6788125
"197",12.83611691
"198",8.426726292
"199",8.953160233
"200",5.366714677
"201",10.06766816
"202",8.62302183
"203",7.109683665
"204",13.62186663
"205",7.380917411
"206",6.841790839
"207",11.56940254
"208",12.08425166
"209",7.531840272
"210",13.02911481
"211",9.328181582
"212",9.547816998
"213",8.038982631
"214",8.955411293
"215",9.951090672
"216",9.692150444
"217",9.735288374
"218",9.402496293
"219",11.46585462
"220",10.1517682
"221",8.845636085
"222",7.929888561
"223",9.397723159
"224",10.93617442
"225",11.37326956
"226",8.077733729
"227",9.516418217
"228",10.99236906
"229",10.0844029
"230",6.88812771
"231",10.84591602
"232",10.66171944
"233",7.057346152
"234",9.577927018
"235",9.809539761
"236",11.36157587
"237",10.62355775
"238",8.869028462
"239",8.302033579
"240",9.927343635
"241",8.722802262
"242",6.977116942
"243",14.63263689
"244",5.096060288
"245",11.1723214
"246",7.315137611
"247",10.19796223
"248",12.2149755
"249",11.41650194
"250",11.13119078
"251",8.057122733
"252",7.830652302
"253",9.68111669
"254",10.05537903
"255",8.52689453
"256",9.242661072
"257",9.37967424
"258",8.96191458
"259",7.873405656
"260",12.24663943
"261",7.857854619
"262",10.34911643
"263",10.60175974
"264",6.887907003
"265",10.37035838
"266",11.45497915
"267",8.756100946
"268",13.58580538
"269",12.26030955
"270",11.31239235
"271",10.68462139
"272",7.174475639
"273",10.15675614
"274",11.4337989
"275",9.184014237
"276",11.13942689
"277",11.27648323
"278",5.183106968
"279",8.825826578
"280",10.64676512
"281",8.214645
"282",9.913772553
"283",10.57023918
"284",7.337690157
"285",9.513539855
"286",11.59655048
"287",8.147750164
"288",6.022085037
"289",11.1756308
"290",12.47551422
"291",12.98021899
"292",9.144174923
"293",11.29126772
"294",6.425088486
"295",5.807899826
"296",6.635701031
"297",5.368478689
"298",12.38252002
"299",14.89545927
"300",9.515724958
"301",8.049487013
"302",11.31640301
"303",9.623979604
"304",12.16737015
"305",8.643042486
"306",9.588013353
"307",6.319114373
"308",10.70468767
"309",7.539752803
"310",6.646897255
"311",9.937367963
"312",13.42414632
"313",13.99822956
"314",6.922980037
"315",10.08349582
"316",10.99597599
"317",8.664186118
"318",12.87846746
"319",9.074783003
"320",10.4686881
"321",13.30106675
"322",7.015423979
"323",8.849949772
"324",9.776768122
"325",8.388854138
"326",9.993522257
"327",6.515060569
"328",7.152584155
"329",6.497369152
"330",5.658567356
"331",5.045870221
"332",10.60483299
"333",6.923361341
"334",10.11670073
"335",8.41786443
"336",5.137102131
"337",7.440011582
"338",9.588428235
"339",8.43535671
"340",7.844529196
"341",11.61519591
"342",8.579911618
"343",7.495251219
"344",7.114523481
"345",10.37210565
"346",11.88868387
"347",7.850397143
"348",14.09804836
"349",11.65323929
"350",10.29492365
"351",10.32297648
"352",7.262840228
"353",8.090168274
"354",10.94531778
"355",13.28985404
"356",5.618861439
"357",6.278746943
"358",9.051718957
"359",8.58329469
"360",8.099848616
"361",12.40454482
"362",11.76331821
"363",5.106518753
"364",8.992584492
"365",9.10380182
"366",9.857432283
"367",7.326990252
"368",7.874918762
"369",6.835652716
"370",8.854847403
"371",9.86015166
"372",8.924613057
"373",10.16941217
"374",11.59990394
"375",8.467935069
"376",7.741146704
"377",9.529126927
"378",6.424562862
"379",10.80814024
"380",7.319239148
"381",10.96473291
"382",13.19195809
"383",5.048237491
"384",9.386716259
"385",10.40920655
"386",7.63350885
"387",9.933841539
"388",13.75950267
"389",11.64875207
"390",8.556045401
"391",8.068302069
"392",12.97824939
"393",9.409059739
"394",5.384433839
"395",7.621420192
"396",10.36738859
"397",7.579786809
"398",9.957767814
"399",8.505986376
"400",11.66315893
"401",10.47861216
"402",9.428506888
"403",9.898551661
"404",13.17276337
"405",11.15539046
"406",11.33404281
"407",10.58178663
"408",6.221586885
"409",8.225505454
"410",7.594942037
"411",5.819597114
"412",11.00515245
"413",8.474582756
"414",10.82772407
"415",8.165215253
"416",8.237362895
"417",8.389717862
"418",10.34221266
"419",10.3138428
"420",9.260697593
"421",8.266136996
"422",5.561496317
"423",7.743008745
"424",12.09366402
"425",7.735733956
"426",6.334632258
"427",6.848995155
"428",9.228289094
"429",14.30090319
"430",6.304846277
"431",6.855453183
"432",9.983183492
"433",11.67695072
"434",14.15320599
"435",8.494027628
"436",6.833571801
"437",12.48369361
"438",9.228201871
"439",10.19838694
"440",8.538593414
"441",8.434641198
"442",8.558038042
"443",9.064762105
"444",11.51967466
"445",13.74694543
"446",5.847244537
"447",7.447515767
"448",11.87379681
"449",10.89544935
"450",7.671347564
"451",8.668422786
"452",10.71975504
"453",7.757897344
"454",8.842462303
"455",12.05964299
"456",8.410582928
"457",7.644712724
"458",11.08227691
"459",10.98812942
"460",10.99010199
"461",7.847794679
"462",10.46405887
"463",10.77759627
"464",8.905217854
"465",7.654873934
"466",8.506942948
"467",12.75443921
"468",8.508388021
"469",8.107564528
"470",9.322903613
"471",10.73397034
"472",10.39694568
"473",5.843134701
"474",10.56054444
"475",8.349917907
"476",8.78209632
"477",9.100550457
"478",11.74758275
"479",8.386410079
"480",12.23998713
"481",10.34526842
"482",9.22103325
"483",6.812569855
"484",11.03659796
"485",9.049868274
"486",7.720273169
"487",11.52234987
"488",7.794977161
"489",9.453096218
"490",10.30307678
"491",10.5582285
"492",10.14377134
"493",9.588557782
"494",10.17571212
